country,suicides100k,wagepercol
lithuania,31.9,26.69
russia,31,17.53
south korea,26.9,29.58
belarus,26.2,11.22
kazakhstan,22.5,17.6
ukraine,22.4,6.37
latvia,21.2,22.43
belgium,20.7,40.14
hungary,19.1,24.37
japan,18.5,32.53
uruguay,18.4,18.53
estonia,17.8,27.45
france,17.7,36.12
switzerland,17.2,49.38
croatia,16.5,19.67
india,16.3,5.2
poland,16.2,24.37
finland,15.9,39.43
austria,15.6,44.39
serbia,15.6,12.14
united states,15.3,54.8
sweden,14.8,45.66
sri lanka,14.6,7.53
thailand,14.4,8.82
iceland,14,44.94
portugal,14,26.13
cuba,13.9,10.63
germany,13.6,44.58
luxembourg,13.5,55.29
australia,13.2,42.81
mongolia,13,6.65
denmark,12.8,44.51
netherlands,12.6,44.55
canada,12.5,38.64
bolivia,12.2,6.22
norway,12.2,52.68
new zealand,12.1,33.55
south africa,11.6,8.44
bulgaria,11.5,16.72
ireland,11.5,47
chile,10.6,19.01
romania,10.4,22.26
dominican republic,9.9,10.85
singapore,9.9,44.7
uganda,9.9,1.53
china,9.7,15.67
nigeria,9.5,3.91
paraguay,9.5,10.34
argentina,9.2,18.89
united kingdom,8.9,34.86
bosnia and herzegovina,8.8,10.8
nepal,8.8,2.21
spain,8.7,31.86
kyrgyzstan,8.3,2.72
georgia,8.2,10.21
italy,8.2,32.23
costa rica,7.9,13
uzbekistan,7.4,4.2
turkey,7.3,19.07
vietnam,7.3,4.03
colombia,7.2,12.96
ecuador,7.1,8.88
armenia,6.6,8.65
qatar,6.6,60.81
brazil,6.5,13.33
albania,6.3,9.18
bangladesh,5.9,3.63
malaysia,5.5,17.25
ghana,5.4,3.33
israel,5.4,30.34
tanzania,5.4,1.86
cambodia,5.3,1.88
mexico,5.1,14.24
greece,5,22.94
peru,4.9,10.52
afghanistan,4.7,1.34
panama,4.3,16.88
iran,4.1,8.16
egypt,4,5.54
venezuela,3.7,29.07
indonesia,3.4,6.63
tunisia,3.4,7.76
algeria,3.2,7.94
kenya,3.2,2.67
philippines,3.2,6.25
saudi arabia,3.2,28.5
iraq,3,8.8
morocco,2.9,5.6
pakistan,2.9,4.59
united arab emirates,2.8,41.93
azerbaijan,2.6,9.08
syria,1.9,4.37
bahamas,1.7,22.83